Track,Date,Start Time,Duration,Speaker,Talk Title,Synopsis,Type,Room Name
Lawn,02/07/2026,07:30 - 09:00,90,,Breakfast,,,LAWN
Studio A,02/07/2026,09:00 - 09:10,10,,Dydh da - welcome to day 1,,,
Studio A,02/07/2026,09:10 - 10:10,60,Birgitta Böckeler,State of Play: AI Coding Assistants,,,ENGINEERING
Studio A,02/07/2026,10:10 - 10:40,30,Paul Massey,AI native business - ask me anything,,,DESIGN & PRODUCT
Lawn,02/07/2026,10:40 - 11:00,20,,Break,,,
Studio A,02/07/2026,11:00 - 11:45,45,"Cat Morris, Derik Evangelista",From panic to peace: Making the observability of an eventually consistent system suck less,,,ENGINEERING
Studio C,02/07/2026,11:00 - 11:45,45,Robin Zaragoza,Pre-PMF in healthcare: Why the startup playbook fails and what to do instead,,,DESIGN & PRODUCT
Studio K,02/07/2026,11:00 - 11:45,45,Ryan Healey,The developers worked in two by two. Hurrah! Hurrah!,,,TEAMS
Studio L ,02/07/2026,11:00 - 11:45,45,Joakim Sundén,"""The smoothest reorg I've ever seen"": Lessons in collaborative org design",,,ORGANISATIONS
Studio E,02/07/2026,11:00 - 12:45,105,"Munish Malik, Mohit Chandna",The great prototyping quest,,,WORKSHOP
Studio F ,02/07/2026,11:00 - 12:45,105,"Rucha Kapare, Ankit Agrawal",10 facilitation hacks and 0 slides in 100 minutes,,,WORKSHOP
Lawn,02/07/2026,11:45 - 12:00,15,,Break,,,
Studio A,02/07/2026,12:00 - 12:45,45,Chris Rutter,A 10-Year Quest for DevSecOps: What The Legend of Zelda Taught Me About Security,,,ENGINEERING
Studio C,02/07/2026,12:00 - 12:45,45,Rachel Dubois,"Built it, shipped it, ... and nobody used it",,,DESIGN & PRODUCT
Studio K,02/07/2026,12:00 - 12:45,45,Vardhan Bhatt,The resilient consultant: From a dream team to burnout and back,,,TEAMS
Studio L ,02/07/2026,12:00 - 12:45,45,"Robin Olsson, Harry Waterman",The successful failure: How our perfect AI tool drowned on the shore of adoption,,,ORGANISATIONS
Lawn,02/07/2026,12:45 - 13:45,60,,Lunch,,,
Studio A,02/07/2026,13:45 - 14:00,15,,Grey Matter talk,,,
Studio A,02/07/2026,14:00 - 14:45,45,Thierry de Pauw,A case study in non-blocking continuous code reviews,,,ENGINEERING
Studio C,02/07/2026,14:00 - 14:45,45,Francesca Salvati,From project factory to product thinking: A platform team’s journey,,,DESIGN & PRODUCT
Studio K,02/07/2026,14:00 - 14:45,45,Ronja Bromander,From bias to brilliance,,,TEAMS
Studio L ,02/07/2026,14:00 - 14:45,45,Qiushuang Wang,The paradox of perfect process: How we delivered global product flawlessly... and missed the mark,,,ORGANISATIONS
Studio E,02/07/2026,14:00 - 15:45,105,"Amy Aspinall, Swarnadipa Banerjee",The Traitors: Agile edition,,,WORKSHOP
